"Title";"Bedrooms";"Bathrooms";"Floor_no";"Occupancy_status";"Floor_area";"City";"price_in_taka";"Location";"price_per_sqft"
"1162 SQUARE FT. RESIDENTIAL APARTMENT FOR SALE AT KHULSHI GREEN HOUSING SOCIETY .";3;3;2;"VACANT";1162;"CHATTOGRAM";6972000;"KHULSHI GREEN HOUSING SOCIETY, KHULSHI";6000.0
"1175 SQ FT FLAT FOR SALE IN MANOHARPUR, WITH SPLENDID FEATURES AND PRICE";3;3;7;"VACANT";1175;"CUMILLA";5000000;"MANOHARPUR, KANDIRPAR";4255.3191
"1186 SQ FT APARTMENT TO SALE IN BAKALIA CLOSE TO KAZEM ALI SCHOOL AND COLLEGE";3;3;4;"VACANT";1186;"CHATTOGRAM";5337000;"DEWAN BAZAR, BAKALIA";4500.0
"1186 SQUARE FEET AND 3 BEDROOM RESIDENTIAL APARTMENT FOR SALE AT PURAN PARA, UTTAR KHAN .";3;3;5;"VACANT";1186;"DHAKA";5337000;"PURAN PARA, UTTAR KHAN";4500.0
"1200 SQ FT APARTMENT IS FOR SALE IN MIRPUR-1, BLOCK B";3;2;3;"VACANT";1200;"DHAKA";7500000;"SECTION 1, MIRPUR";6250.0
"1200 SQ FT APARTMENT IS READY FOR SALE IN MOHAMMADPUR";3;3;1;"VACANT";1200;"DHAKA";6700000;"SHEKHERTEK, MOHAMMADPUR";5583.3333
"1200 SQ FT FLAT FOR SALE IN 9 NO. NORTH PAHARTALI WARD";3;3;4;"VACANT";1200;"CHATTOGRAM";5200000;"AKBARSHAH RAILWAY COLONY, 9 NO. NORTH PAHARTALI WARD";4333.3333
"1200 SQ FT FLAT IS BEING CONSTRUCTED FOR SALE IN 24 NO. NORTH AGRABAD WARD";3;2;6;"VACANT";1200;"CHATTOGRAM";6800000;"24 NO. NORTH AGRABAD WARD, DOUBLE MOORING";5666.6667
"1200 SQ FT FLAT WITH GREAT RESIDENTIAL SERVICES IS UP FOR SALE AT 11 NO SOUTH KATTALI WARD";3;3;4;"VACANT";1200;"CHATTOGRAM";8000000;"DAKSHIN KATTALI, 11 NO. SOUTH KATTALI WARD";6666.6667
"1200 SQ FT NICE APARTMENT FOR SALE IN EAST KAZIPARA, MIRPUR";3;3;7;"VACANT";1200;"DHAKA";7700000;"EAST KAZIPARA, MIRPUR";6416.6667
"1200 SQ FT NICE APARTMENT IS READY FOR SALE IN SOUTH BANASREE PROJECT";3;3;3;"VACANT";1200;"DHAKA";8600000;"SOUTH BANASREE PROJECT, BANASREE";7166.6667
"1200 SQ FT NICE FLAT IS FOR SALE IN MOHAMMADPUR, SAT MASJID HOUSING";3;3;8;"VACANT";1200;"DHAKA";6000000;"SAT MASJID HOUSING, MOHAMMADPUR";5000.0
"1200 SQ FT RESIDENTIAL APARTMENT IS ON SALE IN BAYAZID.";3;3;7;"VACANT";1200;"CHATTOGRAM";5000000;"RAUFABAD RESIDENTIAL AREA, BAYAZID";4166.6667
"1200 SQ FT RESIDENTIAL FLAT IS BEING CONSTRUCTED FOR SALE IN MIRPUR, AHMED NAGAR";3;3;4;"VACANT";1200;"DHAKA";7500000;"AHMED NAGAR, MIRPUR";6250.0
"1200 SQUARE FEET NICE AND AFFORDABLE FLAT FOR SALE AT GREEN VIEW RESIDENTIAL AREA .";3;3;1;"VACANT";1200;"CHATTOGRAM";4600000;"GREEN VIEW RESIDENTIAL AREA, 11 NO. SOUTH KATTALI WARD";3833.3333
"1200 SQUARE FT. AND 3 BEDROOM RESIDENTIAL APARTMENT FOR SALE AT MIRPUR 11 CLOSE TO MERCANTILE BANK LIMITED .";3;3;5;"VACANT";1200;"DHAKA";5800000;"SECTION 11, MIRPUR";4833.3333
"1207 SQ FT FLAT IS NOW FOR SALE IN BADDA NEAR TO SOUTHEAST BANK";3;3;6;"VACANT";1207;"DHAKA";12870000;"SHAHJADPUR, BADDA";10662.8003
"1210 SQUARE FEET APARTMENT IS FOR SALE AT MAGHBAZAR";3;3;1;"VACANT";1210;"DHAKA";6000000;"BORO MAGHBAZAR, MAGHBAZAR";4958.6777
"1215 SQUARE FEET APARTMENT IS READY FOR SALE AT RANAVOLA, TURAG";3;3;6;"VACANT";1215;"DHAKA";7500000;"RANAVOLA, TURAG";6172.8395
"1220 SQ FT FLAT FOR SALE IN BANASREE, BLOCK G";3;2;7;"VACANT";1220;"DHAKA";8000000;"BLOCK G, BANASREE";6557.377
"1220 SQ&GT;FT APARTMENTS FOR SALE CLOSE TO MOLLAPARA JAME MASJID AT AGARGAON";3;3;2;"VACANT";1220;"DHAKA";6800000;"KUTUM GOLI, AGARGAON";5573.7705
"1220 SQUARE FEET FLAT FOR SALE IN KANDIRPAR WITH A NICE NEIGHBORHOOD, TO RELAX BY";3;3;9;"VACANT";1220;"CUMILLA";4636000;"AK FAZLUL HAQ ROAD, KANDIRPAR";3800.0
